temperatureInfrastructureSensor1,temperatureInfrastructureSensor2,temperatureInfrastructureSensor3,externalTemperature,temperatureParcel,humidityInfrastructureSensor,currentClampValue,hvacStateOn,hvacStateValue,time
26.4701519,26.38930774,22.66980229,35,13.68044158,30.50737141,0,0,10,146
26.4782585,26.39730591,22.67883256,35,13.70562719,30.50745157,0,0,10,147
26.486346,26.40528682,22.68784315,35,13.73070967,30.50753176,0,0,10,148
26.49441445,26.41325049,22.69683401,35,13.75569012,30.50761199,0,0,10,149
26.5024639,26.42119695,22.70580515,35,13.7805696,30.50769225,0,0,10,150
26.51049441,26.42912623,22.71475655,35,13.80534919,30.50777255,0,0,10,151
26.51850602,26.43703836,22.72368823,35,13.83002993,30.50785289,0,0,10,152
26.52649879,26.44493337,22.73260021,35,13.85461286,30.50793326,0,0,10,153
26.53447277,26.4528113,22.74149252,35,13.879099,30.50801366,0,0,10,154
26.542428,26.46067218,22.75036522,35,13.90348936,30.5080941,0,0,10,155
26.55036455,26.46851603,22.75921834,35,13.92778494,30.50817457,0,0,10,156
26.55828245,26.47634288,22.76805194,35,13.95198672,30.50825508,0,0,10,157
26.56618177,26.48415278,22.77686609,35,13.97609567,30.50833562,0,0,10,158
26.57406254,26.49194575,22.78566086,35,14.00011275,30.50841619,0,0,10,159
26.58192483,26.49972182,22.79443632,35,14.0240389,30.5084968,0,0,10,160
26.58976868,26.50748102,22.80319254,35,14.04787505,30.50857744,0,0,10,161
26.59759414,26.51522339,22.81192962,35,14.07162213,30.50865812,0,0,10,162
26.60540126,26.52294897,22.82064762,35,14.09528103,30.50873883,0,0,10,163
26.61319009,26.53065777,22.82934665,35,14.11885266,30.50881958,0,0,10,164
26.62096068,26.53834984,22.83802679,35,14.14233789,30.50890035,0,0,10,165
26.62871309,26.5460252,22.84668814,35,14.16573759,30.50898116,0,0,10,166
26.63644735,26.5536839,22.85533077,35,14.18905261,30.50906201,0,0,10,167
26.64416352,26.56132596,22.8639548,35,14.2122838,30.50914289,0,0,10,168
26.65186165,26.56895141,22.8725603,35,14.23543199,30.5092238,0,0,10,169
26.65954178,26.57656029,22.88114739,35,14.25849801,30.50930474,0,0,10,170
26.66720398,26.58415264,22.88971615,35,14.28148265,30.50938572,0,0,10,171
26.67484827,26.59172848,22.89826669,35,14.30438672,30.50946673,0,0,10,172
26.68247472,26.59928785,22.90679909,35,14.32721099,30.50954777,0,0,10,173
26.69008337,26.60683079,22.91531346,35,14.34995625,30.50962885,0,0,10,174
26.69767427,26.61435732,22.92380989,35,14.37262325,30.50970996,0,0,10,175
26.70524747,26.62186748,22.93228847,35,14.39521275,30.5097911,0,0,10,176
26.71280301,26.6293613,22.94074931,35,14.41772548,30.50987227,0,0,10,177
26.72034095,26.63683882,22.94919249,35,14.44016218,30.50995348,0,0,10,178
26.72786132,26.64430007,22.95761811,35,14.46252356,30.51003471,0,0,10,179
26.73536419,26.65174508,22.96602627,35,14.48481034,30.51011598,0,0,10,180
26.74284959,26.6591739,22.97441706,35,14.5070232,30.51019729,0,0,10,181
26.75031758,26.66658654,22.98279056,35,14.52916284,30.51027862,0,0,10,182
26.7577682,26.67398305,22.99114688,35,14.55122993,30.51035998,0,0,10,183
26.76520149,26.68136347,22.99948609,35,14.57322514,30.51044138,0,0,10,184
26.77261751,26.68872781,23.00780829,35,14.59514914,30.51052281,0,0,10,185
26.78001631,26.69607613,23.01611357,35,14.61700256,30.51060427,0,0,10,186
26.78739792,26.70340845,23.02440202,35,14.63878604,30.51068576,0,0,10,187
26.79476239,26.7107248,23.03267371,35,14.66050022,30.51076729,0,0,10,188
26.80210978,26.71802523,23.04092874,35,14.68214571,30.51084884,0,0,10,189
26.80944013,26.72530976,23.04916719,35,14.70372313,30.51093043,0,0,10,190
26.81675347,26.73257843,23.05738914,35,14.72523308,30.51101205,0,0,10,191
26.82404987,26.73983128,23.06559467,35,14.74667614,30.5110937,0,0,10,192
26.83132937,26.74706833,23.07378387,35,14.76805291,30.51117538,0,0,10,193
26.838592,26.75428963,23.08195681,35,14.78936396,30.51125709,0,0,10,194
26.84583782,26.7614952,23.09011358,35,14.81060986,30.51133883,0,0,10,195
26.85306688,26.76868508,23.09825425,35,14.83179117,30.5114206,0,0,10,196
26.86027921,26.77585931,23.10637889,35,14.85290844,30.5115024,0,0,10,197
26.86747486,26.78301792,23.11448758,35,14.87396221,30.51158424,0,0,10,198
26.87465388,26.79016094,23.12258041,35,14.89495301,30.5116661,0,0,10,199
26.88181632,26.79728841,23.13065743,35,14.91588139,30.51174799,0,0,10,200
26.88896221,26.80440036,23.13871873,35,14.93674784,30.51182992,0,0,10,201
26.89609161,26.81149683,23.14676437,35,14.9575529,30.51191187,0,0,10,202
26.90320455,26.81857785,23.15479443,35,14.97829705,30.51199386,0,0,10,203
26.91030108,26.82564345,23.16280897,35,14.99898081,30.51207588,0,0,10,204
26.91738125,26.83269368,23.17080807,35,15.01960466,30.51215792,0,0,10,205
26.9244451,26.83972856,23.17879179,35,15.04016908,30.51224,0,0,10,206
26.93149268,26.84674812,23.1867602,35,15.06067456,30.5123221,0,0,10,207
26.93852402,26.85375241,23.19471336,35,15.08112156,30.51240424,0,0,10,208
26.94553917,26.86074146,23.20265135,35,15.10151054,30.5124864,0,0,10,209
26.95253818,26.8677153,23.21057422,35,15.12184197,30.5125686,0,0,10,210
26.95952108,26.87467396,23.21848204,35,15.14211628,30.51265082,0,0,10,211
26.96648793,26.88161748,23.22637487,35,15.16233394,30.51273308,0,0,10,212
26.97343876,26.88854589,23.23425277,35,15.18249537,30.51281536,0,0,10,213
26.98037362,26.89545924,23.24211581,35,15.20260101,30.51289767,0,0,10,214
26.98729256,26.90235754,23.24996404,35,15.22265128,30.51298001,0,0,10,215
26.9941956,26.90924084,23.25779753,35,15.2426466,30.51306238,0,0,10,216
27.00108281,26.91610917,23.26561633,35,15.26258739,30.51314479,0,0,10,217
27.00795421,26.92296257,23.2734205,35,15.28247405,30.51322721,0,0,10,218
27.01480986,26.92980106,23.28121011,35,15.30230699,30.51330967,0,0,10,219
27.02164979,26.93662468,23.2889852,35,15.32208661,30.51339216,0,0,10,220
27.02847405,26.94343347,23.29674583,35,15.34181329,30.51347468,0,0,10,221
27.03528268,26.95022747,23.30449207,35,15.36148742,30.51355722,0,0,10,222
27.04207572,26.95700669,23.31222395,35,15.38110938,30.5136398,0,0,10,223
27.04885321,26.96377118,23.31994155,35,15.40067956,30.5137224,0,0,10,224
27.0556152,26.97052098,23.32764491,35,15.42019831,30.51380503,0,0,10,225
27.06236172,26.97725611,23.33533408,35,15.43966601,30.51388769,0,0,10,226
27.06909282,26.98397661,23.34300912,35,15.45908302,30.51397038,0,0,10,227
27.07580854,26.99068251,23.35067009,35,15.47844969,30.5140531,0,0,10,228
27.08250893,26.99737385,23.35831702,35,15.49776637,30.51413584,0,0,10,229
27.08919401,27.00405067,23.36594998,35,15.51703341,30.51421861,0,0,10,230
27.09586384,27.01071298,23.37356901,35,15.53625115,30.51430142,0,0,10,231
27.10251845,27.01736083,23.38117417,35,15.55541994,30.51438424,0,0,10,232
27.10915788,27.02399426,23.3887655,35,15.5745401,30.5144671,0,0,10,233
27.11578218,27.03061329,23.39634305,35,15.59361195,30.51454999,0,0,10,234
27.12239139,27.03721796,23.40390687,35,15.61263584,30.5146329,0,0,10,235
27.12898554,27.0438083,23.41145702,35,15.63161207,30.51471584,0,0,10,236
27.13556469,27.05038434,23.41899353,35,15.65054096,30.51479881,0,0,10,237
27.14212885,27.05694613,23.42651645,35,15.66942283,30.51488181,0,0,10,238
27.14867809,27.06349369,23.43402584,35,15.68825798,30.51496483,0,0,10,239
27.15521243,27.07002705,23.44152173,35,15.70704671,30.51504789,0,0,10,240
27.16173192,27.07654625,23.44900418,35,15.72578934,30.51513097,0,0,10,241
27.1682366,27.08305132,23.45647322,35,15.74448614,30.51521407,0,0,10,242
27.1747265,27.0895423,23.46392892,35,15.76313742,30.51529721,0,0,10,243
27.18120167,27.09601922,23.4713713,35,15.78174346,30.51538037,0,0,10,244
27.18766215,27.1024821,23.47880041,35,15.80030455,30.51546356,0,0,10,245
27.19410797,27.10893099,23.4862163,35,15.81882098,30.51554678,0,0,10,246
27.20053917,27.11536592,23.49361902,35,15.83729301,30.51563002,0,0,10,247
27.2069558,27.12178692,23.5010086,35,15.85572093,30.51571329,0,0,10,248
27.21335789,27.12819402,23.50838509,35,15.874105,30.51579659,0,0,10,249
27.21974548,27.13458726,23.51574852,35,15.89244549,30.51587992,0,0,10,250
27.22611862,27.14096667,23.52309896,35,15.91074267,30.51596327,0,0,10,251
27.23247733,27.14733227,23.53043643,35,15.92899681,30.51604665,0,0,10,252
27.23882165,27.15368411,23.53776097,35,15.94720815,30.51613005,0,0,10,253
27.24515164,27.16002222,23.54507263,35,15.96537695,30.51621348,0,0,10,254
27.25146731,27.16634663,23.55237146,35,15.98350346,30.51629694,0,0,10,255
27.25776872,27.17265737,23.55965748,35,16.00158795,30.51638043,0,0,10,256
27.2640559,27.17895447,23.56693075,35,16.01963064,30.51646394,0,0,10,257
27.27032889,27.18523797,23.57419129,35,16.03763178,30.51654748,0,0,10,258
27.27658772,27.1915079,23.58143916,35,16.05559162,30.51663105,0,0,10,259
27.28283244,27.19776429,23.58867439,35,16.07351039,30.51671464,0,0,10,260
27.28906308,27.20400717,23.59589702,35,16.09138833,30.51679826,0,0,10,261
27.29527967,27.21023658,23.60310709,35,16.10922566,30.5168819,0,0,10,262
