id,gatewayId,containerTemperature1,containerTemperatureSensorId1,containerTemperature2,containerTemperatureSensorId2,containerTemperature3,containerTemperatureSensorId3,humidityValue,humidityTemperature,humiditySensorId,hvacStateOn,hvacStateValue,hvacActuatorId,currentClampValue,currentClampSensorId,externalTemperature,externalTemperatureId,parcelTemperature,parcelTemperatureSensorId,timestamp
-1,GATEWAY,27.11,80_00_00_00_00_01,26.48,80_00_00_00_00_02,21.52,80_00_00_00_00_03,17.65,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.81,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:20:49"
-1,GATEWAY,27.26,80_00_00_00_00_01,26.57,80_00_00_00_00_02,21.75,80_00_00_00_00_03,16.45,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.82,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:20:54"
-1,GATEWAY,27.26,80_00_00_00_00_01,26.57,80_00_00_00_00_02,21.75,80_00_00_00_00_03,16.45,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.82,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:20:59"
-1,GATEWAY,27.26,80_00_00_00_00_01,26.57,80_00_00_00_00_02,21.75,80_00_00_00_00_03,16.45,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.82,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:21:04"
-1,GATEWAY,27.26,80_00_00_00_00_01,26.57,80_00_00_00_00_02,21.75,80_00_00_00_00_03,16.45,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.82,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:21:09"
-1,GATEWAY,27.4,80_00_00_00_00_01,26.66,80_00_00_00_00_02,21.91,80_00_00_00_00_03,15.4,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.84,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:21:14"
-1,GATEWAY,27.4,80_00_00_00_00_01,26.66,80_00_00_00_00_02,21.91,80_00_00_00_00_03,15.4,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.84,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:21:19"
-1,GATEWAY,27.4,80_00_00_00_00_01,26.66,80_00_00_00_00_02,21.91,80_00_00_00_00_03,15.4,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.84,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:21:24"
-1,GATEWAY,27.4,80_00_00_00_00_01,26.66,80_00_00_00_00_02,21.91,80_00_00_00_00_03,15.4,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.84,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:21:29"
-1,GATEWAY,27.53,80_00_00_00_00_01,26.75,80_00_00_00_00_02,22.05,80_00_00_00_00_03,14.51,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.85,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:21:34"
-1,GATEWAY,27.53,80_00_00_00_00_01,26.75,80_00_00_00_00_02,22.05,80_00_00_00_00_03,14.51,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.85,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:21:39"
-1,GATEWAY,27.53,80_00_00_00_00_01,26.75,80_00_00_00_00_02,22.05,80_00_00_00_00_03,14.51,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.85,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:21:44"
-1,GATEWAY,27.53,80_00_00_00_00_01,26.75,80_00_00_00_00_02,22.05,80_00_00_00_00_03,14.51,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.85,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:21:49"
